measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,117,Saint Vincent and the Grenadines,1,Male,6,5-9 years,339,Pertussis,1,Number,1981,5.0480022636295403e-05,0.00012712589109303949,1.2992954093094782e-05
1,Deaths,117,Saint Vincent and the Grenadines,2,Female,6,5-9 years,339,Pertussis,1,Number,1981,1.7973229220303846e-05,4.8439933110354367e-05,3.4265579972889364e-06
1,Deaths,117,Saint Vincent and the Grenadines,1,Male,6,5-9 years,339,Pertussis,2,Percent,1981,1.1093036438227026e-05,2.744249398009403e-05,3.0539259499074456e-06
1,Deaths,117,Saint Vincent and the Grenadines,2,Female,6,5-9 years,339,Pertussis,2,Percent,1981,3.905297576317561e-06,1.0380196446127559e-05,7.60522222508304e-07
1,Deaths,117,Saint Vincent and the Grenadines,1,Male,6,5-9 years,339,Pertussis,3,Rate,1981,0.0006594967112264105,0.0016608373512753884,0.00016974656598808122
1,Deaths,117,Saint Vincent and the Grenadines,2,Female,6,5-9 years,339,Pertussis,3,Rate,1981,0.00024305056278387,0.0006550493992690319,4.6337073847131786e-05
1,Deaths,117,Saint Vincent and the Grenadines,1,Male,7,10-14 years,339,Pertussis,1,Number,1981,5.1767520604363934e-05,0.00013991798395800682,1.1467714371457316e-05
1,Deaths,117,Saint Vincent and the Grenadines,2,Female,7,10-14 years,339,Pertussis,1,Number,1981,8.599674071828933e-06,2.4385577006132108e-05,1.2703361083818916e-06
1,Deaths,117,Saint Vincent and the Grenadines,1,Male,7,10-14 years,339,Pertussis,2,Percent,1981,1.6317646661076652e-05,4.327698330369471e-05,3.5883660561159333e-06
1,Deaths,117,Saint Vincent and the Grenadines,2,Female,7,10-14 years,339,Pertussis,2,Percent,1981,2.131596451798545e-06,6.094179662084661e-06,3.250658649883956e-07
1,Deaths,117,Saint Vincent and the Grenadines,1,Male,7,10-14 years,339,Pertussis,3,Rate,1981,0.000706182574730261,0.0019086802112404696,0.00015643592674639852
1,Deaths,117,Saint Vincent and the Grenadines,2,Female,7,10-14 years,339,Pertussis,3,Rate,1981,0.00012142333480692319,0.00034431282587502336,1.7936545654755685e-05
1,Deaths,117,Saint Vincent and the Grenadines,1,Male,8,15-19 years,339,Pertussis,1,Number,1981,1.7728848922191878e-05,5.141883379476224e-05,3.018212955329886e-06
1,Deaths,117,Saint Vincent and the Grenadines,2,Female,8,15-19 years,339,Pertussis,1,Number,1981,5.863683922672108e-06,1.6882466763788335e-05,8.329063443932124e-07
1,Deaths,117,Saint Vincent and the Grenadines,1,Male,8,15-19 years,339,Pertussis,2,Percent,1981,4.053546640923317e-06,1.171706675414572e-05,6.836997589895153e-07
1,Deaths,117,Saint Vincent and the Grenadines,2,Female,8,15-19 years,339,Pertussis,2,Percent,1981,1.1149376361069551e-06,3.224777306354287e-06,1.613211041670939e-07
1,Deaths,117,Saint Vincent and the Grenadines,1,Male,8,15-19 years,339,Pertussis,3,Rate,1981,0.000272679370939352,0.0007908497226822454,4.6421762271896315e-05
1,Deaths,117,Saint Vincent and the Grenadines,2,Female,8,15-19 years,339,Pertussis,3,Rate,1981,9.080941337165619e-05,0.0002614545605294949,1.2899013235592455e-05
1,Deaths,117,Saint Vincent and the Grenadines,1,Male,9,20-24 years,339,Pertussis,1,Number,1981,4.129349653385239e-05,0.00010725119601053721,8.194237413840396e-06
1,Deaths,117,Saint Vincent and the Grenadines,2,Female,9,20-24 years,339,Pertussis,1,Number,1981,7.753129887913501e-06,2.3703628344892535e-05,1.2343555405491732e-06
1,Deaths,117,Saint Vincent and the Grenadines,1,Male,9,20-24 years,339,Pertussis,2,Percent,1981,5.348187418449816e-06,1.4036098089798119e-05,1.0498879744865905e-06
