measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,26,Independent State of Papua New Guinea,1,Male,6,5-9 years,339,Pertussis,1,Number,1980,20.080528316319263,68.54942575469471,1.0395410361255795
1,Deaths,26,Independent State of Papua New Guinea,2,Female,6,5-9 years,339,Pertussis,1,Number,1980,21.10772938195965,67.56161367197043,1.0574306652980672
1,Deaths,26,Independent State of Papua New Guinea,1,Male,6,5-9 years,339,Pertussis,2,Percent,1980,0.047223767003933693,0.15647875163324834,0.002500204299172161
1,Deaths,26,Independent State of Papua New Guinea,2,Female,6,5-9 years,339,Pertussis,2,Percent,1980,0.06637100580383037,0.21980946443140778,0.0033193929028627546
1,Deaths,26,Independent State of Papua New Guinea,1,Male,6,5-9 years,339,Pertussis,3,Rate,1980,8.518573031856672,29.08007600121947,0.440994683822686
1,Deaths,26,Independent State of Papua New Guinea,2,Female,6,5-9 years,339,Pertussis,3,Rate,1980,9.78519812641441,31.320459134061643,0.4902075622464304
1,Deaths,26,Independent State of Papua New Guinea,1,Male,7,10-14 years,339,Pertussis,1,Number,1980,4.953006536025285,17.776149953427566,0.2401731227171675
1,Deaths,26,Independent State of Papua New Guinea,2,Female,7,10-14 years,339,Pertussis,1,Number,1980,4.72034213809274,17.66264710628841,0.17621876659388797
1,Deaths,26,Independent State of Papua New Guinea,1,Male,7,10-14 years,339,Pertussis,2,Percent,1980,0.018967833687035533,0.06553541313939551,0.000993177567207658
1,Deaths,26,Independent State of Papua New Guinea,2,Female,7,10-14 years,339,Pertussis,2,Percent,1980,0.023323671431853026,0.08560052945991138,0.0009012704965336285
1,Deaths,26,Independent State of Papua New Guinea,1,Male,7,10-14 years,339,Pertussis,3,Rate,1980,2.3582233178546677,8.463572784923944,0.11435112273607208
1,Deaths,26,Independent State of Papua New Guinea,2,Female,7,10-14 years,339,Pertussis,3,Rate,1980,2.5389213660385272,9.500174099048152,0.0947824497702519
1,Deaths,26,Independent State of Papua New Guinea,1,Male,8,15-19 years,339,Pertussis,1,Number,1980,1.1261253722156646,4.3736546624003685,0.048161089233708945
1,Deaths,26,Independent State of Papua New Guinea,2,Female,8,15-19 years,339,Pertussis,1,Number,1980,0.9085816375259284,3.603525757453842,0.03123585911321348
1,Deaths,26,Independent State of Papua New Guinea,1,Male,8,15-19 years,339,Pertussis,2,Percent,1980,0.0031411075541496443,0.011388993322943857,0.00013552864455555947
1,Deaths,26,Independent State of Papua New Guinea,2,Female,8,15-19 years,339,Pertussis,2,Percent,1980,0.003559900594230189,0.013714893781439315,0.0001268813091052941
1,Deaths,26,Independent State of Papua New Guinea,1,Male,8,15-19 years,339,Pertussis,3,Rate,1980,0.635863188129007,2.4695704990088734,0.027194009210234682
1,Deaths,26,Independent State of Papua New Guinea,2,Female,8,15-19 years,339,Pertussis,3,Rate,1980,0.6034711098495941,2.3934268517067734,0.020746554616143182
1,Deaths,26,Independent State of Papua New Guinea,1,Male,9,20-24 years,339,Pertussis,1,Number,1980,0.5024100547417887,2.07556029774084,0.017426126642005442
1,Deaths,26,Independent State of Papua New Guinea,2,Female,9,20-24 years,339,Pertussis,1,Number,1980,0.6012353903396218,2.4020416044423905,0.023784118053481913
1,Deaths,26,Independent State of Papua New Guinea,1,Male,9,20-24 years,339,Pertussis,2,Percent,1980,0.0012974286070483122,0.004897069591896867,4.8051529335508285e-05
1,Deaths,26,Independent State of Papua New Guinea,2,Female,9,20-24 years,339,Pertussis,2,Percent,1980,0.0019226786537033282,0.007420005987419213,7.806833960233012e-05
1,Deaths,26,Independent State of Papua New Guinea,1,Male,9,20-24 years,339,Pertussis,3,Rate,1980,0.34859726402440966,1.4401277089926117,0.012091119619546677
1,Deaths,26,Independent State of Papua New Guinea,2,Female,9,20-24 years,339,Pertussis,3,Rate,1980,0.4733446324120112,1.8910954321083513,0.01872492005320891
1,Deaths,26,Independent State of Papua New Guinea,1,Male,10,25-29 years,339,Pertussis,1,Number,1980,0.3946922177098601,1.485680390956318,0.01742048506962896
1,Deaths,26,Independent State of Papua New Guinea,2,Female,10,25-29 years,339,Pertussis,1,Number,1980,0.5769055556397995,2.2627145799934887,0.023831148327646014
1,Deaths,26,Independent State of Papua New Guinea,1,Male,10,25-29 years,339,Pertussis,2,Percent,1980,0.0010973727779700153,0.003950339582341512,5.0891692240220865e-05
1,Deaths,26,Independent State of Papua New Guinea,2,Female,10,25-29 years,339,Pertussis,2,Percent,1980,0.0017157977677261088,0.006230885639043487,7.295408720659656e-05
1,Deaths,26,Independent State of Papua New Guinea,1,Male,10,25-29 years,339,Pertussis,3,Rate,1980,0.3236213208533498,1.2181589322357524,0.01428363705991191
1,Deaths,26,Independent State of Papua New Guinea,2,Female,10,25-29 years,339,Pertussis,3,Rate,1980,0.49748675257048053,1.9512215082526796,0.02055047048107879
1,Deaths,26,Independent State of Papua New Guinea,1,Male,11,30-34 years,339,Pertussis,1,Number,1980,0.4593921318403669,1.7965202302526675,0.021464940762269354
1,Deaths,26,Independent State of Papua New Guinea,2,Female,11,30-34 years,339,Pertussis,1,Number,1980,0.42491883072083,1.7113806870788388,0.018785135783047604
1,Deaths,26,Independent State of Papua New Guinea,1,Male,11,30-34 years,339,Pertussis,2,Percent,1980,0.0011883090682912128,0.0041351149064595746,6.093689687422606e-05
1,Deaths,26,Independent State of Papua New Guinea,2,Female,11,30-34 years,339,Pertussis,2,Percent,1980,0.0012092932006899254,0.004428191496564496,5.199967563625809e-05
1,Deaths,26,Independent State of Papua New Guinea,1,Male,11,30-34 years,339,Pertussis,3,Rate,1980,0.43483454855696024,1.7004842032575733,0.020317496054561568
1,Deaths,26,Independent State of Papua New Guinea,2,Female,11,30-34 years,339,Pertussis,3,Rate,1980,0.41609596919823505,1.675846195023201,0.018395087991059152
1,Deaths,26,Independent State of Papua New Guinea,1,Male,12,35-39 years,339,Pertussis,1,Number,1980,0.4674151697765389,1.7742674196703094,0.023606590802426296
1,Deaths,26,Independent State of Papua New Guinea,2,Female,12,35-39 years,339,Pertussis,1,Number,1980,0.40125857267766085,1.5761952407100985,0.017775337814648493
